VANE_TOTAL_COUNT_FLOAT,ID,VANE_TOTAL_COUNT,VANE_LEAN,T_VANE_REG,T_VANE_MNT,T_HUB_REG,T_HUB_MNT,T_OUTER_REG,T_OUTER_MNT,VANE_LE_RADIUS,AERO_BLOCKAGE,D_OUTER,D_HUB,VANE_CORDA_LENGTH,WL_SHROUD_ENABLED,WL_VANE_SHROUD_ENABLED,WL_VANE_HUB_ENABLED,WL_HUB_ENABLED,NX_FILE,MAX_DEFORMATION,MAX_STRESS,BLM_RAW_DATA,BUCKLING_LOAD_MULTIPLIER,VOLUME,WEIGHT,PDS_A,PDS_B,PDS_C,WSS_A,WSS_B,WSS_C
8.7105,67,8,19.2982,1.7105,2.2105,1.7895,3.3158,1.7895,1.3947,19.0135,109591.3181,1100.0000,420.0000,140.0,1,1,1,1,cii-067,0.0643,22.2018,-100.7325,100.7325,5377067.3599,43.9306,0.6414459,0.7291126,0.8562560,0.4667382,0.8631433,0.6117396
13.3684,68,13,6.6667,3.5263,1.7105,3.5000,1.3158,1.2368,2.7105,12.3134,109591.3181,1100.0000,420.0000,115.0,1,1,1,1,cii-068,0.0410,21.3046,152.2731,152.2731,7804657.4841,63.7641,0.7828487,0.9141535,0.7459065,0.4648915,0.9089101,0.6769872
16.2895,69,16,19.4737,1.6842,3.4211,3.9211,3.5526,3.3158,3.1316,9.4965,109591.3181,1100.0000,420.0000,100.0,1,1,1,1,cii-069,0.0249,17.5464,-600.3627,600.3627,7733900.0969,63.1860,0.5574500,0.7713741,0.8032642,0.4744481,0.9112856,0.6523062
14.6316,70,14,16.3158,2.2632,1.2368,3.0526,2.2895,1.3684,2.5789,11.0481,109591.3181,1100.0000,420.0000,110.0,1,1,1,1,cii-070,0.0459,20.8729,152.9852,152.9852,6481766.7937,52.9560,0.6133271,0.8482049,0.8835535,0.4787748,0.9273978,0.6614382
8.3947,71,8,4.2105,2.2895,1.5000,2.0526,3.3421,2.8421,1.2105,20.0911,109591.3181,1100.0000,420.0000,140.0,1,1,1,1,cii-071,0.0528,21.2968,-95.0355,95.0355,5901167.8067,48.2125,0.9028372,0.7528852,0.6947367,0.4664004,0.8633190,0.6101154
9.1842,72,9,16.6667,3.0789,1.6842,3.2895,3.8421,2.6579,2.6053,17.1548,109591.3181,1100.0000,420.0000,135.0,1,1,1,1,cii-072,0.0375,17.8824,-320.0243,320.0243,7730875.4074,63.1613,0.6670579,0.7864634,0.9243663,0.4671075,0.9065659,0.6459036
11.5526,73,11,8.5965,1.8421,1.9211,3.0000,3.6053,2.5526,3.4211,14.4866,109591.3181,1100.0000,420.0000,125.0,1,1,1,1,cii-073,0.0322,18.5877,366.3944,366.3944,7070111.8333,57.7628,0.7781966,0.9195786,0.8174393,0.4754917,0.9245944,0.6766490
16.9990,74,16,1.5789,1.2632,2.2895,3.0789,2.7895,2.4474,1.8421,10.0689,109591.3181,1100.0000,420.0000,100.0,1,1,1,1,cii-074,0.0316,17.8613,-204.7396,204.7396,5850338.9889,47.7973,0.6769855,0.7461864,0.6033631,0.4823384,0.9141447,0.6450739
12.9737,75,12,18.9474,2.1053,1.1053,2.4737,1.1316,2.4211,1.3684,12.7026,109591.3181,1100.0000,420.0000,120.0,1,1,1,1,cii-075,0.0372,21.0405,-129.9141,129.9141,6114397.2537,49.9546,0.6017994,0.8015284,0.8672692,0.4592193,0.8981415,0.6629005
8.2368,76,8,10.0000,1.4474,1.8947,1.1842,2.9737,2.8158,2.9211,19.8394,109591.3181,1100.0000,420.0000,140.0,1,1,1,1,cii-076,0.0507,24.0092,-388.4582,388.4582,6036837.3391,49.3210,0.8023517,0.8919075,0.8262744,0.4698288,0.8655046,0.6193609
12.6579,77,12,13.1579,3.2105,3.6316,3.8684,2.3684,3.9737,3.5263,13.0777,109591.3181,1100.0000,420.0000,120.0,1,1,1,1,cii-077,0.0228,17.6067,-767.1268,767.1268,9938453.4294,81.1972,0.6816542,0.9051045,0.9018490,0.4650071,0.9196200,0.6959516
10.4474,78,10,0.1754,3.5526,1.3947,3.6316,1.2105,2.8947,3.7895,16.1163,109591.3181,1100.0000,420.0000,130.0,1,1,1,1,cii-078,0.0326,21.9974,283.8393,283.8393,8506185.7206,69.4955,0.7378274,0.6969066,0.6420469,0.4610660,0.8921424,0.6467168
10.1316,81,10,2.8070,2.3421,3.0263,3.1316,3.8158,2.5789,1.7105,16.0970,109591.3181,1100.0000,420.0000,130.0,1,1,1,1,cii-081,0.0347,16.3963,-146.2286,146.2286,7309149.6058,59.7158,0.8157542,0.7600985,0.7018367,0.4696060,0.9183389,0.6655077
8.5526,82,8,14.2105,3.9737,3.8421,1.6842,2.3158,3.7895,2.1053,19.5290,109591.3181,1100.0000,420.0000,140.0,1,1,1,1,cii-082,0.0407,22.3147,-226.2872,226.2872,8789031.1632,71.8064,0.7205079,0.8100098,0.9219382,0.4659079,0.8424950,0.6085330
10.7632,83,10,11.7544,2.7895,1.8421,1.3158,1.2368,3.2895,3.0789,15.7784,109591.3181,1100.0000,420.0000,130.0,1,1,1,1,cii-083,0.0327,22.1732,293.0136,293.0136,7589994.3201,62.0103,0.7339036,0.8951139,0.9051223,0.4632497,0.8943795,0.6744052
13.6842,84,13,6.4912,4.0000,1.4474,2.8421,3.2105,3.7632,2.1842,12.3177,109591.3181,1100.0000,420.0000,115.0,1,1,1,1,cii-084,0.0263,19.2819,-301.7876,301.7876,9273791.7805,75.7669,0.7864807,0.9099407,0.7421407,0.4809965,0.9278496,0.6726470
11.4737,85,11,1.0526,2.4737,2.3947,3.3421,1.4211,2.1579,2.4211,14.6488,109591.3181,1100.0000,420.0000,125.0,1,1,1,1,cii-085,0.0352,22.2730,257.4792,257.4792,7131818.0242,58.2670,0.7450207,0.7384284,0.6493190,0.4705191,0.9141250,0.6975194
15.4211,87,15,8.7719,2.4211,3.5000,2.6842,1.2632,3.6316,1.3158,10.6186,109591.3181,1100.0000,420.0000,105.0,1,1,1,1,cii-087,0.0345,20.3882,-150.2664,150.2664,7756944.9999,63.3742,0.7115289,0.9267870,0.7629917,0.4629722,0.8979046,0.6727547
